feature,importance
对美国贸易比例,0.20418378579762855
month,0.18580672851222196
对美国出口比例,0.14188106084720278
对美国进口比例,0.12656934673401263
注册地编码_34,0.11083513997453721
注册地编码_15,0.08739261587140515
商品编码_74,0.060901640386896765
注册地编码_52,0.025720475828188583
注册地编码_53,0.013514755092320054
商品编码_91,0.011488719221837144
GDP_pc,0.0047165816406685235
商品编码_78,0.004629454011903892
注册地编码_61,0.003851000324456987
year,0.003203940526770329
Elderly,0.00306066349213079
GDP,0.002903651957434549
Third,0.0028415317856868654
Population,0.002658535329143163
商品编码_98,0.0010110956708899899
商品编码_3,0.000962140645654821
注册地编码_65,0.00023468671656313926
注册地编码_13,0.00022834251989783518
注册地编码_46,0.000194852006443769
商品编码_61,0.00018127416043568726
商品编码_57,0.00017109415842060319
注册地编码_14,9.080847726661002e-05
商品编码_72,7.515980127482397e-05
注册地编码_32,7.260331164596532e-05
商品编码_81,6.923904276583607e-05
商品编码_9,5.886485690502042e-05
注册地编码_12,5.8765250299547674e-05
注册地编码_63,4.167149019970895e-05
注册地编码_36,3.929626517831891e-05
商品编码_10,3.057884699528742e-05
注册地编码_43,2.9585449589031957e-05
商品编码_40,2.7344096656130522e-05
注册地编码_64,2.323052409858477e-05
商品编码_26,2.2447648496406633e-05
注册地编码_42,2.0359074044721112e-05
注册地编码_41,1.8164272068779233e-05
注册地编码_37,1.5968955087172758e-05
商品编码_76,1.4301315189315071e-05
商品编码_24,1.3037563848619178e-05
商品编码_69,1.2571463071516584e-05
商品编码_88,1.2077082382663228e-05
商品编码_97,1.1941489907647156e-05
商品编码_80,9.886730541873363e-06
注册地编码_62,8.391753973026213e-06
商品编码_65,6.035277824733437e-06
商品编码_92,5.409443781190982e-06
商品编码_43,5.328977992643565e-06
商品编码_66,4.8641382548071925e-06
商品编码_82,4.713080903413277e-06
注册地编码_54,4.520081159584374e-06
商品编码_95,4.465371306837878e-06
商品编码_38,3.716175035994985e-06
商品编码_68,3.6657818257694995e-06
商品编码_79,3.0675562045044967e-06
注册地编码_22,3.0289173351575894e-06
商品编码_29,2.9942717852475262e-06
商品编码_1,2.854439901072649e-06
注册地编码_50,2.795879192166475e-06
商品编码_83,2.334738585838032e-06
商品编码_64,2.072190313026767e-06
商品编码_21,2.001814007594055e-06
商品编码_55,1.6863963460406355e-06
商品编码_34,1.6756455717686834e-06
商品编码_17,1.6522829444052295e-06
商品编码_60,1.601957206023861e-06
商品编码_89,1.2773868612307944e-06
注册地编码_23,1.0951226980021856e-06
注册地编码_35,1.0854331789089905e-06
商品编码_75,1.0337431168146397e-06
商品编码_52,8.106156434535077e-07
注册地编码_51,8.068358160373665e-07
注册地编码_33,7.051477995789682e-07
注册地编码_11,6.215891063686683e-07
商品编码_18,6.009978854038682e-07
注册地编码_45,3.5005431206683096e-07
商品编码_2,3.213399825794072e-07
商品编码_96,1.8248270667467723e-07
商品编码_41,1.7584763576899702e-07
商品编码_50,1.2463721679922344e-07
商品编码_93,1.2017815332969196e-07
商品编码_30,1.0276141593421945e-07
商品编码_39,9.01108674565613e-08
商品编码_5,8.555283244570573e-08
注册地编码_31,8.222605449253684e-08
注册地编码_44,5.516168238686619e-08
商品编码_22,5.239082483088065e-08
商品编码_16,5.2219053277823405e-08
商品编码_31,5.190419387202864e-08
商品编码_7,4.209248860028449e-08
注册地编码_21,3.3880985737738925e-08
商品编码_84,3.357639992075236e-08
商品编码_87,2.1842027002916718e-08
商品编码_20,1.8970998769793913e-08
商品编码_70,1.5950288556642653e-08
商品编码_62,1.5606469776471557e-08
商品编码_45,1.5188849817728687e-08
商品编码_73,1.3826826863777903e-08
商品编码_37,1.2933911180336092e-08
